,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
8532,0.675,The Beatles,0.552,154160,0.644,0,6wfK1R6FoLpmUA9lk5ll4T,0.0,9,0.36,-9.129,1,Please Mister Postman - Remastered 2009,54,1963-11-22,0.0372,122.546,0.961,1963
8568,0.7070000000000001,The Beatles,0.591,108547,0.605,0,40qXGg5nRbcWzcFb26KWkQ,0.0,0,0.309,-10.925,1,Misery - Remastered 2009,50,1963-03-22,0.0413,133.34799999999998,0.882,1963
8574,0.389,The Beatles,0.635,124360,0.6559999999999999,0,7Msq9qojB7yORuJvz49iUy,0.00127,2,0.0828,-8.5,1,P.S. I Love You - Remastered 2009,50,1963-03-22,0.0291,134.435,0.77,1963
8589,0.767,The Beatles,0.605,146533,0.394,0,7529Z6b1rlGZFFPWjHPeV5,0.0,4,0.0967,-11.33,1,Ask Me Why - Remastered 2009,49,1963-03-22,0.0378,133.942,0.597,1963
8591,0.664,The Beatles,0.54,151907,0.7440000000000001,0,2RvKsA6Ho7VbJkVFiD4UQF,0.0,5,0.21,-9.637,1,Hold Me Tight - Remastered 2009,47,1963-11-22,0.0312,135.731,0.963,1963
8595,0.607,The Beatles,0.402,146440,0.86,0,7JxGM1R32ZqfwZou3VtnTg,0.0,4,0.736,-10.31,1,Boys - Remastered 2009,49,1963-03-22,0.0504,142.445,0.8220000000000001,1963
8598,0.425,The Beatles,0.545,169507,0.853,0,3zw4FTrVNfy2teEkV9FOvh,0.0,11,0.266,-8.369,0,Money (That's What I Want) - Remastered 2009,48,1963-11-22,0.0394,128.816,0.923,1963
8622,0.227,The Beatles,0.618,146213,0.622,0,5maTh4fY9SlgR3FhRkf040,0.0,7,0.0438,-8.861,1,Devil In Her Heart - Remastered 2009,47,1963-11-22,0.0296,121.072,0.966,1963
8625,0.477,The Beatles,0.5529999999999999,119507,0.914,0,0sIZcoe69iSym9AecvZ7CT,0.0,9,0.292,-8.232000000000001,1,I Wanna Be Your Man - Remastered 2009,47,1963-11-22,0.0415,99.138,0.6829999999999999,1963
8629,0.608,The Beatles,0.654,145080,0.561,0,3JQWLa88R35d971o5bIImd,0.0,10,0.129,-10.550999999999998,1,Chains - Remastered 2009,47,1963-03-22,0.0304,129.884,0.929,1963
8630,0.698,The Beatles,0.42,123480,0.3720000000000001,0,7fh53ta3vAOGJMQ4i5tCHe,0.0,1,0.104,-11.416,0,A Taste Of Honey - Remastered 2009,47,1963-03-22,0.0327,101.408,0.412,1963
8633,0.629,The Beatles,0.455,110493,0.5820000000000001,0,4dessGxnKXmTbHPhVgqODq,4.22e-06,4,0.172,-10.009,1,There's A Place - Remastered 2009,47,1963-03-22,0.0292,140.928,0.927,1963
8639,0.213,The Beatles,0.471,126827,0.8170000000000001,0,5vl0sRtrQM1BTSAxQZFqEN,0.0,7,0.498,-9.999,1,Not A Second Time - Remastered 2009,46,1963-11-22,0.0372,124.848,0.961,1963
8681,0.13699999999999998,The Beatles,0.59,154200,0.805,0,5J2CHimS7dWYMImCHkEFaJ,0.0,0,0.0996,-6.481,1,A Hard Day's Night - Remastered 2009,67,1964-07-10,0.0371,138.514,0.797,1964
8685,0.64,The Beatles,0.767,149693,0.331,0,65vdMBskhx3akkG9vQlSH1,0.0,1,0.0681,-10.777,0,And I Love Her - Remastered 2009,67,1964-07-10,0.0337,113.312,0.636,1964
8686,0.412,The Beatles,0.652,163600,0.583,0,1Dg4dFJr3HW7sbA7vPejre,0.0,9,0.119,-7.811,1,Eight Days A Week - Remastered 2009,64,1964-12-04,0.038,138.134,0.7440000000000001,1964
8689,0.28300000000000003,The Beatles,0.483,131867,0.677,0,3SdingSsFcZDZAyvcJbgAw,0.0,0,0.321,-5.91,1,Can't Buy Me Love - Remastered 2009,64,1964-07-10,0.0593,170.72,0.8420000000000001,1964
8694,0.68,The Beatles,0.665,139467,0.31,0,1hgvykolO4kBIEozATmpyj,0.0,2,0.0877,-8.927999999999997,1,If I Fell - Remastered 2009,62,1964-07-10,0.0278,108.211,0.568,1964
8700,0.789,The Beatles,0.6890000000000001,108853,0.313,0,45WX2cfbL8bCIqv3rOq1G3,0.0,0,0.14400000000000002,-10.073,1,I'll Follow The Sun - Remastered 2009,60,1964-12-04,0.0366,133.754,0.625,1964
8703,0.257,The Beatles,0.682,163080,0.444,0,3pU1CUgPiFfxPCpscwIwQR,0.0,7,0.115,-7.689,1,I Should Have Known Better - Remastered 2009,61,1964-07-10,0.0289,130.704,0.91,1964
8709,0.67,The Beatles,0.718,136067,0.593,0,4ltC6PrqkTtpcRNi5lvS4z,0.0,0,0.172,-9.976,1,No Reply - Remastered 2009,58,1964-12-04,0.0377,124.251,0.8690000000000001,1964
8710,0.138,The Beatles,0.6579999999999999,116373,0.537,0,0gd50I2gKioJ59C827EdAY,0.0,6,0.0572,-7.535,0,I'm Happy Just To Dance With You - Remastered 2009,58,1964-07-10,0.0307,132.115,0.887,1964
8719,0.239,The Beatles,0.551,155333,0.575,0,0voUr8lubIafUVJlauJxYF,0.0,2,0.112,-8.208,0,Things We Said Today - Remastered 2009,57,1964-07-10,0.0332,137.054,0.516,1964
8766,0.586,The Beatles,0.267,128693,0.688,0,0Wzp5pWPoX0YoBg002HXL9,0.0,11,0.307,-6.309,0,Tell Me Why - Remastered 2009,49,1964-07-10,0.0388,150.942,0.797,1964
8770,0.5660000000000001,The Beatles,0.457,151280,0.917,0,7Ho3T7ERfooiAfvODaMQ2N,0.0,9,0.333,-6.212999999999999,1,Rock And Roll Music - Remastered 2009,51,1964-12-04,0.0441,167.092,0.965,1964
